Index,Plate Appearance (season),Date,Hands on Swing,Handedness,Outcome,EV,LA,Air/Ground,Outcome Direction,Pitch Location,Pitch Velo,2 strikes,,,
365,183,7/16/23,2,L,Miss,,,,,4,78,n,,,
366,184,7/17/23,2,R,Foul,93.7,-26,,,8,97,n,,,
367,184,7/17/23,2,R,3-Jun,106.2,-4,G,6,7,98,n,,,
368,185,7/17/23,2,R,Miss,,,,,5,97,n,,,
369,185,7/17/23,1,R,Double,91.6,29,,7,3,97,y,,,
370,186,7/17/23,2,R,Foul,71.3,58,,,11,97,n,,,
371,186,7/17/23,2,R,Foul,75.6,31,,,1,90,y,,,
372,187,7/17/23,2,L,Single,74.8,12,,8,11,84,n,,,
373,188,7/17/23,2,R,F7,100,23,A,7,4,93,n,,,
374,189,7/18/23,2,R,Foul,80.2,61,,,6,93,n,,,
375,190,7/18/23,2,L,F8,100.9,22,A,8,8,91,n,,,
376,191,7/19/23,1,L,Foul,77.4,11,,,8,91,n,,,
377,191,7/19/23,1,L,Foul,71.6,-24,,,4,91,y,,,
378,191,7/19/23,1,L,K,,,,,11,99,y,,,
379,192,7/19/23,1,L,Miss,,,,,3,97,n,,,
380,192,7/19/23,2,L,Foul,83,18,,,3,98,n,,,
381,192,7/19/23,1,L,F8,94.4,32,A,8,5,91,y,,,
382,193,7/19/23,2,L,Miss,,,,,5,99,n,,,
383,193,7/19/23,1,L,Foul,,,,,12,92,n,,,
384,193,7/19/23,1,L,K,,,,,12,92,y,,,
385,194,7/19/23,1,L,F8,90.6,24,A,8,13,86,n,,,
386,195,7/21/23,1,R,Foul,72.7,21,,,6,90,n,,,
387,195,7/21/23,2,R,Foul,,,,,6,92,n,,,
388,195,7/21/23,2,R,K,,,,,10,92,y,,,
389,196,7/21/23,2,R,Foul,58.1,31,,,6,82,n,,,
390,196,7/21/23,2,R,Foul,70.1,33,,,5,94,y,,,
391,196,7/21/23,2,R,3-Jan,63.5,-17,G,1,9,92,y,,,
392,197,7/21/23,2,R,K,,,,,8,93,y,,,
